name,last_match_date,current_elo,peak_elo,selo_Clay,selo_Grass,selo_Hard,wr_Clay,wr_Grass,wr_Hard,overall_wr,form10_wr,form5_wr,streak,avg_rest_days,matches_28d,active
Andrew Harris,2026-04-25,1565.2126795166077,1565.2126795166077,1576.0783154565538,1500.0,1509.0,0.5929919137466307,0.5,0.5,0.5456656346749225,0.556578947368421,0.556578947368421,-1.0,30.0,2.0,True
Benjamin Bonzi,2026-03-06,1563.7957446952605,1587.0499277857812,1458.3568498207032,1518.3557508332717,1542.273630361332,0.3478260869565217,0.5172413793103449,0.4635465116279069,0.4532711864406779,0.57024,0.416,-1.0,13.975,2.5248371889065564,True
Antoine Escoffier,2026-04-24,1563.0191833638785,1563.0191833638785,1455.0715019336208,1500.0,1500.0,0.3312629399585921,0.5,0.4545454545454545,0.44438351611831167,0.4532711864406779,0.4532711864406779,-1.0,30.0,2.0,True
Gabriel Diallo,2026-04-16,1562.7147567906245,1565.8956799221785,1491.1648589894746,1492.1478571286193,1534.1664267171534,0.3863636363636363,0.4285714285714285,0.4527650237032713,0.4229302752682068,0.3937333955822312,0.3792415129600001,-1.0,12.475556843005716,4.297218463611982,True
Reilly Opelka,2026-04-13,1561.3654764560315,1647.3180522090872,1525.621917217665,1497.717696197849,1554.2215200035484,0.4661290322580644,0.4545454545454545,0.5388368552215189,0.4979797234885714,0.4237941047295999,0.4007936,-2.0,10.399826676470584,3.039031000495092,True
Fabian Marozsan,2026-04-25,1560.5623365383285,1629.8196684409809,1508.7041967511284,1477.9235952595009,1544.540248985714,0.45361247947454836,0.3888888888888889,0.3826305546874999,0.42468800540355855,0.4331817655116297,0.4331817655116297,-1.0,9.8345719,5.319349801120193,True
Thiago Agustin Tirante,2026-03-20,1560.434392960672,1560.434392960672,1542.5586984672043,1500.0,1504.1010554418372,0.5693064921875,0.5,0.4609615384615384,0.5268769757087723,0.5439269075812353,0.5058007040000001,-1.0,14.619430269411769,3.969821815521392,True
Aleksandar Vukic,2026-01-18,1560.250552563993,1581.394126690936,1476.1086449615102,1531.624530051781,1509.792140920455,0.4090909090909091,0.5333333333333333,0.4487179487179487,0.4545454545454545,0.5,0.4,-1.0,11.16,3.0,True
Corentin Moutet,2026-04-16,1558.8236644190565,1564.4582142359477,1513.5501770033,1494.321656231488,1473.771973152479,0.4539889030612244,0.4615384615384615,0.3984375,0.4349667617212563,0.4141747085639679,0.36987904,-1.0,10.747603996460178,4.394751841721092,True
Quentin Halys,2026-03-24,1557.450514942929,1559.932953817397,1533.0819788745127,1510.4522368032135,1493.1341866319474,0.5416666666666666,0.5,0.5147363609255798,0.4794627949785064,0.4861336481783539,0.532217806848,-1.0,8.5820759312825,5.64414646740141,True
Yannick Hanfmann,2026-04-13,1553.7795861022498,1612.305209984986,1537.8421036205573,1487.3028046328136,1488.5696159340412,0.5037487341772152,0.44,0.3010416666666666,0.4254346024716897,0.4701873307647999,0.3776512000000002,-3.0,12.018272428571429,2.0812706823113984,True
Dusan Lajovic,2026-02-18,1553.3450039796153,1611.3209487033585,1555.4102077579205,1466.5284275698853,1473.4231719556994,0.4748218055555554,0.3684210526315789,0.4,0.4427647641379308,0.367285248,0.34432,-1.0,10.332853048780487,3.8307048514624538,True
Jack Pinnington Jones,2026-02-13,1552.390172111333,1552.390172111333,1500.0,1508.104817927623,1523.5146036100143,0.5,0.5,0.5693064921875,0.5452300694719998,0.566021316608,0.5665280000000001,-1.0,12.703015999999998,5.399738998009775,True
Blaise Bicknell,2026-04-27,1551.6550921712321,1551.6550921712321,1511.532012609923,1500.0,1508.5344550066764,0.4231249999999999,0.5,0.5833333333333334,0.4312816357740925,0.4285329012050562,0.4285329012050562,-1.0,35.0,3.0,True
Antoine Hoang,2026-04-24,1549.1699672029074,1549.1699672029074,1482.3936758889206,1509.0,1490.9419448670037,0.3679653679653679,0.5,0.4166666666666667,0.4146375247727518,0.4229302752682068,0.4229302752682068,-1.0,27.75,3.0,True
Juncheng Shang,2026-02-16,1547.3219800794009,1643.268366455187,1476.1211569124232,1518.370361958171,1510.4946233850717,0.375,0.5333333333333333,0.4047619047619046,0.4318918918918918,0.088,0.0,-10.0,14.9765625,1.38125542780903,True
Miomir Kecmanovic,2026-04-14,1546.4426385029324,1623.7647222781636,1529.8404273507597,1502.7744775735,1521.900763389341,0.4306666666666667,0.4571428571428571,0.3837545392186983,0.4360798794247681,0.3216547857855446,0.241790091264,-4.0,8.25144746054838,3.247374119174401,True
Aslan Karatsev,2026-04-25,1546.195195708238,1643.2814386009957,1531.1779242777388,1481.119116565514,1502.621152700725,0.47976069921639547,0.4090909090909091,0.514018691588785,0.41709274752126435,0.4254346024716897,0.4254346024716897,-1.0,8.490196078431373,3.0,True
Stanislas Wawrinka,2026-04-05,1545.8598025282506,1630.415525399099,1490.031153877823,1510.991318864602,1528.4725530836968,0.3863636363636363,0.5,0.4594594594594595,0.4351791547310342,0.4287574015999999,0.3409919999999999,-2.0,12.718873396226416,2.026401571836045,True
Arthur Fery,2026-04-24,1544.5040786176253,1544.5040786176253,1504.199349959322,1491.249916553936,1494.630608383901,0.4323703838678328,0.4285714285714285,0.425,0.4264380016875062,0.4349667617212563,0.4349667617212563,-1.0,39.900000000000006,2.261174345262317,True
Attila Balazs,2026-04-24,1544.1082806333895,1544.1082806333895,1545.0405783675706,1500.0,1482.0060378419637,0.4522112433862433,0.4545454545454545,0.3846153846153846,0.43408310209601064,0.4427647641379308,0.4427647641379308,-1.0,42.0,2.0,True
