player_key,player,elo_current,elo_peak,wr_overall_sm,wr_Clay_sm,wr_Grass_sm,wr_Hard_sm,form10,form5,streak,avg_rest_days,rank_latest,matches_played,wins,last_date,raw_win_rate
sebastian korda,Sebastian Korda,1759.4793660924327,1789.8744648933002,0.6153846153846154,0.5208333333333334,0.6,0.6301369863013698,0.8,0.6,1,6.595959595959596,15.0,199,123,2024-08-26,0.6180904522613065
jack draper,Jack Draper,1756.8188046559226,1780.0918468126142,0.5985915492957746,0.4666666666666667,0.6176470588235294,0.6122448979591837,0.8,0.6,-1,8.742424242424242,,132,80,2025-07-03,0.6060606060606061
holger rune,Holger Rune,1741.5969216412207,1827.5167249244075,0.6182572614107884,0.611764705882353,0.5357142857142857,0.6216216216216216,0.6,0.6,-1,6.2727272727272725,,231,144,2025-08-19,0.6233766233766234
nick kyrgios,Nick Kyrgios,1739.4213749870855,1779.8734522983857,0.6666666666666666,0.5714285714285714,0.6451612903225806,0.6415094339622641,0.6,0.4,-2,8.25,20.0,68,47,2023-06-12,0.6911764705882353
hubert hurkacz,Hubert Hurkacz,1737.306210684567,1807.3767918057022,0.6486486486486487,0.6071428571428571,0.6341463414634146,0.6483516483516484,0.5,0.4,-2,5.7028112449799195,8.0,249,163,2024-10-28,0.6546184738955824
andrey rublev,Andrey Rublev,1721.7069537725408,1832.7924137438636,0.6801242236024845,0.6823529411764706,0.6388888888888888,0.669683257918552,0.7,0.6,-1,4.862179487179487,,312,214,2025-08-19,0.6858974358974359
rafael nadal,Rafael Nadal,1719.808663880889,1884.6991018672682,0.7321428571428571,0.7333333333333333,0.625,0.6785714285714286,0.5,0.4,-2,9.009803921568627,161.0,102,77,2024-11-19,0.7549019607843137
tommy paul,Tommy Paul,1717.2680873825975,1790.457024823865,0.6038461538461538,0.49056603773584906,0.6382978723404256,0.6166666666666667,0.6,0.4,-1,6.032,,250,152,2025-08-15,0.608
matteo berrettini,Matteo Berrettini,1708.906285499472,1764.0700985288772,0.6910112359550562,0.7547169811320755,0.7391304347826086,0.5959595959595959,0.5,0.4,-1,7.791666666666667,35.0,168,118,2025-07-01,0.7023809523809523
stefanos tsitsipas,Stefanos Tsitsipas,1688.640022314937,1832.3158634284712,0.692063492063492,0.7706422018348624,0.5428571428571428,0.6544502617801047,0.5,0.2,-1,4.914754098360656,,305,213,2025-08-15,0.6983606557377049
