player,last_date,current_elo,peak_elo,win_rate_sm,wr_Clay_sm,wr_Grass_sm,wr_Hard_sm,avg_rest_days,matches_28d,streak,n_matches
Joao Fonseca,2025-07-05,1586.7208747227367,1599.2166424614966,0.5757575757575758,0.47619047619047616,0.5,0.6666666666666666,17.217391304347824,3,-1,23
Nicolas Jarry,2025-07-07,1586.5633584027873,1682.213178864364,0.5373134328358209,0.5735294117647058,0.5454545454545454,0.484375,9.040322580645162,4,-1,124
Alejandro Davidovich Fokina,2025-07-05,1584.998511578212,1660.7676508082652,0.5047619047619047,0.56,0.4642857142857143,0.48031496062992124,7.075,3,-1,200
Alejandro Tabilo,2024-10-28,1584.3099579256248,1670.1097374951273,0.5172413793103449,0.5370370370370371,0.5416666666666666,0.4745762711864407,9.735849056603774,7,1,107
Miomir Kecmanovic,2025-07-05,1582.2782865929687,1623.8414527149612,0.4847161572052402,0.5066666666666667,0.45714285714285713,0.48201438848920863,6.80365296803653,3,-1,219
Juncheng Shang,2024-12-18,1576.6958465673672,1643.3289785243644,0.4857142857142857,0.375,0.5333333333333333,0.4918032786885246,13.05,1,-5,62
Marcelo Arevalo,2024-09-14,1576.1695625362297,1576.1695625362297,0.6842105263157895,0.5384615384615384,0.5,0.6,36.666666666666664,1,8,10
Milos Raonic,2024-07-29,1576.0027352975958,1596.489612809744,0.5348837209302325,0.45454545454545453,0.5263157894736842,0.5454545454545454,16.606060606060606,1,-2,33
Alex Molcan,2024-02-26,1573.3366097426908,1622.6058164226083,0.5238095238095238,0.6101694915254238,0.47058823529411764,0.42857142857142855,10.821052631578947,2,-1,95
Arthur Rinderknech,2025-07-05,1572.6978315628794,1586.0382638608405,0.47928994082840237,0.48,0.4375,0.4953271028037383,8.786163522012579,3,-1,159
Lorenzo Sonego,2025-07-07,1571.6215191990507,1615.7687117716118,0.4935064935064935,0.5138888888888888,0.5454545454545454,0.4666666666666667,6.642533936651584,4,-1,221
Nuno Borges,2025-07-05,1571.1814117988567,1586.4897205281825,0.45098039215686275,0.5121951219512195,0.3684210526315789,0.45161290322580644,11.16304347826087,3,-1,92
Yoshihito Nishioka,2025-07-01,1571.1476320005193,1619.5023696221783,0.4625,0.4878048780487805,0.4090909090909091,0.4700854700854701,9.32,1,-3,150
Marton Fucsovics,2025-07-05,1570.980523154201,1643.5847864414793,0.48554913294797686,0.48936170212765956,0.5588235294117647,0.4642857142857143,8.803680981595091,3,-1,163
Tomas Martin Etcheverry,2025-07-01,1569.9337819157115,1622.3161055563771,0.47297297297297297,0.5421686746987951,0.3684210526315789,0.42424242424242425,8.326086956521738,1,-2,138
