player,matches,wins,losses,avg_rest_days,matches_28d_latest,rolling_10_winrate_latest,rolling_5_winrate_latest,streak_latest,win_rate,peak_elo,current_elo,wr_Clay,wr_Grass,wr_Hard,wr_Unknown
Alexander Zgirovsky,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,0.0,,,
Alexis Klegou,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,,,0.0,
Alvaro Lopez San Martin,1,0,1,30.0,0,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1500.0,0.0,,,
Amir Milushev,1,0,1,30.0,0,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1500.0,,,0.0,
Andrea Arnaboldi,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,,,0.0,
Andrea Pellegrino,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,0.0,,,
Andreja Petrovic,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,,,0.0,
Antoine Escoffier,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,,,0.0,
Arjun Kadhe,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,,,0.0,
Arklon Huertas Del Pino,1,1,0,30.0,0,0.3333333333333333,0.3333333333333333,1,1.0,1500.0,1500.0,,,,1.0
Benedict Badza,1,1,0,30.0,0,0.3333333333333333,0.3333333333333333,1,1.0,1500.0,1500.0,,,1.0,
Blake Mott,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,,,0.0,
Boris Arias,1,1,0,30.0,0,0.6666666666666666,0.6666666666666666,1,1.0,1500.0,1500.0,1.0,,,
Brandon Perez,1,0,1,30.0,0,0.0,0.0,-1,0.0,1500.0,1500.0,,,0.0,
Branko Djuric,1,0,1,30.0,0,0.0,0.0,-1,0.0,1500.0,1500.0,,,0.0,
Caleb Chakravarthi,1,0,1,30.0,0,1.0,1.0,-1,0.0,1500.0,1500.0,,,0.0,
Calvin Hemery,1,0,1,30.0,0,1.0,1.0,-1,0.0,1500.0,1500.0,,,0.0,
Carlos Gimeno Valero,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,0.0,,,
Cayetano March,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,,,0.0,
Chak Lam Coleman Wong,1,0,1,30.0,0,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1500.0,,,0.0,
Christopher Rungkat,1,1,0,30.0,0,0.0,0.0,1,1.0,1500.0,1500.0,,,,1.0
Clement Chidekh,1,0,1,30.0,0,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1500.0,,,0.0,
Conner Huertas Del Pino,1,1,0,30.0,0,0.6666666666666666,0.6666666666666666,1,1.0,1500.0,1500.0,,,,1.0
Courtney John Lock,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,,,0.0,
Dac Tien Nguyen,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,,,,0.0
Daniel Azar,1,0,1,30.0,0,0.0,0.0,-1,0.0,1500.0,1500.0,0.0,,,
