k_overall,k_surface,tau,beta,n,cutoff_date,train_auc,test_auc,train_brier,test_brier,test_acc,thr
24,12,500,2.0,39613,2022-04-18 00:00:00,0.7701144549337128,0.7454542267861206,0.19491464255078694,0.20437679014156335,0.6714628297362111,0.54
32,16,240,2.0,39613,2022-04-18 00:00:00,0.7709482560207287,0.7454540993187506,0.19458895830949863,0.20436010158614992,0.6719676890066894,0.51
32,24,240,2.0,39613,2022-04-18 00:00:00,0.7709739395048236,0.7454493192923777,0.19457781698795074,0.20437293152468908,0.6722201186419285,0.51
28,12,365,1.8,39613,2022-04-18 00:00:00,0.7706223012201794,0.7454420536522907,0.1947146566035971,0.20436580675574775,0.6722201186419285,0.515
24,14,500,2.0,39613,2022-04-18 00:00:00,0.7700825218549303,0.7454092308045295,0.19492725330052724,0.2043990573047684,0.6717152593714502,0.54
24,12,365,2.0,39613,2022-04-18 00:00:00,0.7703754482047792,0.7454052155823762,0.19479872949869365,0.20439396131159143,0.6710841852833522,0.535
24,24,365,2.2,39613,2022-04-18 00:00:00,0.7701546610578526,0.7454039409086766,0.1948752407827714,0.20440712205844647,0.6699482519247759,0.54
24,18,500,2.2,39613,2022-04-18 00:00:00,0.7699277677103804,0.7453931699159161,0.19498734632934814,0.20441527383736902,0.674239555723842,0.555
28,14,365,1.8,39613,2022-04-18 00:00:00,0.7706243127213375,0.7453911941716821,0.1947117544500776,0.204384298810296,0.6715890445538306,0.52
24,14,365,2.0,39613,2022-04-18 00:00:00,0.7703440687867117,0.7453781287662624,0.1948076968158238,0.20440773978697027,0.6719676890066894,0.545
28,16,365,1.8,39613,2022-04-18 00:00:00,0.7706221817250611,0.7453758343536034,0.19471238613491856,0.2043909139901295,0.6710841852833522,0.535
28,18,365,1.8,39613,2022-04-18 00:00:00,0.770613924612386,0.7453658918987476,0.1947145552066297,0.20439703567149006,0.670831755648113,0.535
28,20,365,1.8,39613,2022-04-18 00:00:00,0.7705990116216213,0.7453594547965653,0.19471860581741957,0.20440251322064623,0.6702006815600151,0.535
24,16,500,2.0,39613,2022-04-18 00:00:00,0.7700405153376745,0.7453564593133716,0.19494125072806603,0.20441949654613764,0.6709579704657327,0.54
24,16,365,2.0,39613,2022-04-18 00:00:00,0.7703137887237324,0.7453548022375622,0.19481856378616516,0.2044218679888113,0.6707055408304935,0.54
24,20,500,2.2,39613,2022-04-18 00:00:00,0.7698764126917024,0.7453376578763043,0.19500511226850947,0.20443756325032572,0.674239555723842,0.555
28,24,365,1.8,39613,2022-04-18 00:00:00,0.7705615499020317,0.7453375304089344,0.19472863354100878,0.20441567137320318,0.6718414741890698,0.52
24,18,365,2.0,39613,2022-04-18 00:00:00,0.7702769284629051,0.7453370205394546,0.1948314909157857,0.20442574057029997,0.670579326012874,0.535
28,16,240,2.0,39613,2022-04-18 00:00:00,0.7707238999529353,0.7453238914003502,0.1946682734759717,0.20441537711764016,0.6717152593714502,0.505
28,12,240,2.0,39613,2022-04-18 00:00:00,0.7707237047775752,0.7453063646369824,0.19467050698482188,0.20441959651218533,0.6715890445538306,0.51
28,14,240,2.0,39613,2022-04-18 00:00:00,0.7707278313423277,0.7453061097022426,0.19466818771227817,0.20442200791707144,0.6719676890066894,0.5
24,18,500,2.0,39613,2022-04-18 00:00:00,0.7700002454828048,0.7453047712948582,0.194956566281802,0.20443765430931385,0.6713366149185914,0.54
22,12,365,2.2,39613,2022-04-18 00:00:00,0.7700836570585542,0.745302859284309,0.19490757828648045,0.20444033533378,0.6714628297362111,0.54
24,20,365,2.0,39613,2022-04-18 00:00:00,0.7702387537557764,0.7452938091010427,0.19484362887827084,0.20444303259494312,0.6707055408304935,0.535
28,18,240,2.0,39613,2022-04-18 00:00:00,0.7707258317906813,0.7452829106409122,0.19466767659662793,0.2044338039443643,0.6709579704657327,0.51
28,20,240,2.0,39613,2022-04-18 00:00:00,0.7707147267110197,0.7452729681860565,0.1946693153873225,0.2044405866924187,0.6717152593714502,0.5
22,14,365,2.2,39613,2022-04-18 00:00:00,0.7700338475100728,0.7452623883943509,0.19492412237174392,0.2044582467878787,0.6709579704657327,0.535
24,12,500,1.8,39613,2022-04-18 00:00:00,0.7701351116564975,0.7452556963574286,0.19490292886257193,0.20445025999704516,0.6722201186419285,0.54
24,20,500,2.0,39613,2022-04-18 00:00:00,0.7699494122594766,0.745250024059466,0.19497335470732127,0.20445691258357665,0.6704531111952543,0.54
22,12,500,2.2,39613,2022-04-18 00:00:00,0.7697453982439897,0.7452493867226163,0.19505606968835656,0.20447657914218761,0.6717152593714502,0.54
24,24,500,2.2,39613,2022-04-18 00:00:00,0.7697662839990846,0.7452453077667781,0.19504213999518671,0.20447304543106126,0.6734822668181244,0.555
24,24,365,2.0,39613,2022-04-18 00:00:00,0.7701568398521765,0.7452451165657231,0.19486989243520164,0.20446642520792638,0.6696958222895368,0.535
28,24,240,2.0,39613,2022-04-18 00:00:00,0.7706914371124616,0.7452409101425148,0.194676914894323,0.20445428087460588,0.6717152593714502,0.5
