match_id,date,p1_name,p2_name,y,diff_avg_rest_days,diff_matches_28d,diff_rolling_10_winrate,diff_rolling_5_winrate,diff_streak,diff_win_rate,diff_peak_elo,diff_current_elo,diff_wr_Clay,diff_wr_Grass,diff_wr_Hard,elo_diff,selo_diff,surface,tourney_level,best_of,round
155,2021-02-01,Egor Gerasimov,Felix Auger Aliassime,0,-0.75,2.0,0.0,0.0,-3.0,0.0,-11.613808141893742,-23.627623909738304,0.0,0.0,-0.0999999999999999,0.4000076259508205,0.2270507109824393,Hard,A,3,R16
154,2021-02-01,Corentin Moutet,James Duckworth,1,0.0,0.0,0.3333333333333333,0.3333333333333333,4.0,0.0,12.785707024074782,24.75759889591086,0.0,0.0,0.0615384615384615,0.8138151522387034,0.4599791230621122,Hard,A,3,R16
153,2021-02-01,Alexei Popyrin,Grigor Dimitrov,0,-5.0,1.0,0.1666666666666666,0.1666666666666666,-3.0,0.0,-0.7871681917094975,-13.188145614963103,0.0,0.0,0.0,11.61380923154411,8.77883102646797,Hard,A,3,R16
152,2021-02-01,Mikhail Kukushkin,Stan Wawrinka,0,-15.0,1.0,0.0,0.0,-2.0,0.0,-0.4143005863770668,-12.828601172754134,0.0,0.0,-0.0384615384615384,12.0,9.0,Hard,A,3,R32
151,2021-02-01,Alex Bolt,Mackenzie Mcdonald,1,-4.333333333333332,-1.0,0.1666666666666666,0.1666666666666666,3.0,0.0,23.18569178767212,34.78568416172129,0.0,0.0,0.0769230769230768,11.585699413622931,8.766915391928478,Hard,A,3,R32
150,2021-02-01,Gilles Simon,Jeremy Chardy,0,5.5,-4.0,-0.3333333333333333,-0.3,-3.0,0.0,-34.37322410636193,-45.57406288616789,0.0,0.0,-0.131578947368421,-23.17238532655597,-17.53414324395885,Hard,A,3,R32
149,2021-02-01,Federico Coria,Taylor Fritz,0,-15.0,1.0,0.0,0.0,-2.0,0.0,-0.8143082123278873,-13.214315838278708,0.0,0.0,0.0,11.585699413622931,8.766915391928478,Hard,A,3,R32
147,2021-02-01,Harry Bourchier,Nick Kyrgios,0,0.0,0.0,0.0,0.0,-3.0,0.0,-12.0,-12.0,0.0,0.0,-0.0384615384615384,0.0,0.0,Hard,A,3,R32
146,2021-02-01,Adrian Mannarino,Marcos Giron,0,4.333333333333332,1.0,-0.1666666666666666,-0.1666666666666666,-3.0,0.0,-22.79948510777808,-34.41327842788405,0.0,0.0,-0.0769230769230768,-11.185691787672113,-8.539864680946039,Hard,A,3,R32
145,2021-02-01,Daniel Evans,Pedro Sousa,1,15.0,-1.0,0.0,0.0,2.0,0.0,0.4143005863770668,12.828601172754134,0.0,0.0,0.1666666666666666,-12.0,-9.0,Hard,A,3,R32
144,2021-02-01,Casper Ruud,Jiri Vesely,0,11.0,-2.0,-0.1666666666666666,-0.1666666666666666,-3.0,0.0,-24.385681729315365,-24.385681729315365,0.0,0.0,-0.0787878787878788,-0.4143005863770668,-0.2330846080715218,Hard,A,3,R32
143,2021-02-01,Jason Kubler,Ricardas Berankis,0,0.0,0.0,0.0,0.0,-3.0,0.0,-12.0,-24.0,0.0,0.0,-0.0384615384615384,0.0,0.0,Hard,A,3,R32
141,2021-02-01,Felix Auger Aliassime,Yuichi Sugita,1,15.0,-1.0,0.0,0.0,2.0,0.0,0.4143005863770668,12.828601172754134,0.0,0.0,0.0999999999999999,-12.0,-9.0,Hard,A,3,R32
113,2021-02-01,Andrew Harris,Taro Daniel,1,0.0,0.0,0.0,0.0,2.0,0.0,24.0,24.0,0.0,0.0,0.0454545454545454,0.0,0.0,Hard,A,3,R64
91,2021-02-01,Sam Querrey,Stefano Travaglia,0,3.1,-1.0,-0.3,-0.3,-3.0,0.0,-23.18569178767212,-34.78568416172129,0.0,0.0,-0.131578947368421,-11.585699413622931,-8.766915391928478,Hard,A,3,R32
111,2021-02-01,Stefano Travaglia,Thiago Monteiro,1,-1.1607142857142865,1.0,0.1607142857142857,0.1999999999999999,6.0,0.0,24.31220643782308,35.87194965237154,0.0,0.0,0.0433436532507739,12.752463223274615,9.434458202860696,Hard,A,3,SF
81,2021-02-01,Attila Balazs,Carlos Alcaraz,0,0.0,0.0,0.0,0.0,-2.0,0.0,-24.0,-24.0,0.0,0.0,-0.0839160839160839,0.0,0.0,Hard,A,3,R64
80,2021-02-01,Federico Delbonis,Matthew Ebden,0,0.0,0.0,0.0,0.0,-2.0,0.0,-24.0,-24.0,0.0,0.0,-0.0454545454545454,0.0,0.0,Hard,A,3,R64
79,2021-02-01,Thiago Monteiro,Thomas Fancutt,1,-10.666666666666668,2.0,0.1666666666666666,0.1666666666666666,2.0,0.0,12.0,11.600008842153784,0.0,0.0,0.1336898395721925,-0.4143005863770668,-0.2330846080715218,Hard,A,3,R64
78,2021-02-01,Gianluca Mager,Jordan Thompson,0,-15.5,3.0,0.0,0.0,-3.0,0.0,11.58619305536513,-12.841923317800592,0.0,0.0,-0.0714285714285714,11.98569057146915,8.993962158036311,Hard,A,3,R64
112,2021-02-01,Jannik Sinner,Stefano Travaglia,1,-0.333333333333333,-4.0,0.2222222222222222,0.1999999999999999,6.0,0.0,-10.726660560487971,2.0850856358240435,0.0,0.0,0.0350877192982456,-23.538406756799983,-17.74733563535915,Hard,A,3,F
