player,matches,wins,losses,avg_rest_days,rolling_10_winrate_latest,win_rate,peak_elo,current_elo,last_match_date,days_since_last,surf_matches_Clay,surf_matches_Grass,surf_matches_Hard,surf_matches_Other,wr_Clay,wr_Grass,wr_Hard,wr_Other,current_selo_Clay,current_selo_Grass,current_selo_Hard
Vasek Pospisil,312,137,175,11.804487179487179,0.5,0.4391,1658.349576245271,1522.581946314771,2024-08-05,135,20,48,244,0,0.05,0.3958,0.4795,,1499.9394120309398,1500.1851827912053,1510.3857538796824
Andrea Vavassori,21,9,12,23.19047619047619,0.4,0.4286,1537.0266134897593,1521.9998798671825,2024-07-29,142,15,2,4,0,0.4667,0.0,0.5,,1503.4362309694914,1497.2238681636366,1506.0276666513737
Paul Jubb,9,3,6,19.77777777777778,0.375,0.3333,1537.5443325418569,1520.9928525326175,2024-07-01,170,0,9,0,0,,0.3333,,,,1513.037953426924,
Marco Trungelliti,41,17,24,30.75609756097561,0.4,0.4146,1536.291202227656,1520.489195374662,2024-09-18,91,30,1,10,0,0.5,0.0,0.2,,1505.866099271363,1500.0,1499.7608108136014
Reilly Opelka,188,96,92,9.372340425531915,0.4,0.5106,1704.167039972167,1520.3655054655494,2024-10-02,77,32,15,141,0,0.4375,0.4,0.539,,1519.9817366344564,1506.359792495467,1492.2883086455672
Facundo Diaz Acosta,41,18,23,14.804878048780488,0.4,0.439,1577.8466984404579,1520.3027104377036,2024-10-14,65,29,1,11,0,0.5517,0.0,0.1818,,1539.4144346062612,1500.0,1470.2846380284418
Pablo Llamas Ruiz,8,4,4,21.375,0.5714285714285714,0.5,1536.0011939052843,1520.0060365790587,2024-04-22,240,6,0,2,0,0.5,,0.5,,1506.882419150992,,1507.0556105944145
Dominic Stricker,49,24,25,15.306122448979592,0.4,0.4898,1589.7256665704135,1519.1015570224117,2024-10-21,58,10,8,31,0,0.4,0.5,0.5161,,1497.6869463944963,1500.3538296637498,1513.9976885522683
Nick Kyrgios,328,210,118,8.527439024390244,0.7,0.6402,1850.024480654419,1518.5970713465406,2023-06-12,555,51,57,220,0,0.5686,0.6491,0.6545,,1520.8867754700284,1524.2655882405336,1630.2513575087771
Andres Andrade,3,2,1,30.0,0.5,0.6667,1519.8820164397684,1518.5797650101267,2024-09-14,95,1,0,2,0,1.0,,0.5,,1500.0,,1507.0
Ricardas Berankis,270,126,144,13.562962962962963,0.6,0.4667,1606.7102655629794,1517.3206626285962,2024-02-03,319,39,24,206,1,0.3077,0.25,0.5194,1.0,1494.3339354992474,1501.98902712368,1510.6397852949208
Christopher Eubanks,103,41,62,14.932038834951456,0.5,0.3981,1635.6820107500787,1517.2466369826323,2024-08-26,114,9,25,69,0,0.1111,0.6,0.3623,,1466.2579343634648,1516.3704294064792,1493.6457142596676
Alex Knaff,11,6,5,30.0,0.5,0.5455,1527.3178585419541,1517.1045728276827,2024-09-14,95,5,0,4,2,0.4,,0.5,1.0,1507.0274862057745,,1506.7771002091474
Learner Tien,12,6,6,18.083333333333332,0.6,0.5,1553.5851791952487,1516.3326996429394,2024-12-18,0,0,0,12,0,,,0.5,,,,1523.1094478441732
Benjamin Hassan,25,15,10,32.2,0.5,0.6,1539.706481745905,1516.195099330173,2024-10-14,65,13,0,10,2,0.6923,,0.5,0.5,1507.0531508639365,,1495.2926971533923
Mackenzie Mcdonald,230,105,125,9.956521739130435,0.3,0.4565,1665.5457490757387,1515.9779032424053,2024-09-13,96,29,33,168,0,0.2759,0.5152,0.4762,,1472.268179339737,1509.222238389502,1517.3889638516
Luciano Darderi,54,26,28,7.111111111111111,0.1,0.4815,1622.2181916511481,1515.4923604538521,2024-11-04,44,34,5,15,0,0.6471,0.4,0.1333,,1558.1215255878108,1500.0827785350025,1449.8330375280414
