player,matches,wins,losses,avg_rest_days,matches_28d_latest,rolling_10_winrate_latest,rolling_5_winrate_latest,streak_latest,last_match_date,win_rate,peak_elo,current_elo,current_selo_Clay,current_selo_Grass,current_selo_Hard,wr_Clay,wr_Grass,wr_Hard,Other_x,surf_matches_Clay,surf_matches_Grass,surf_matches_Hard,Other_y,days_since_last
Alexander Shevchenko,86,38,48,9.069767441860465,3,0.5,0.6,-1,2024-11-04,0.4419,1584.8155161870654,1540.2635922395182,1492.972454646288,1497.6656274861023,1516.8154910464564,0.4286,0.25,0.463,,28.0,4.0,54.0,0.0,44
Rinky Hijikata,64,28,36,12.171875,3,0.6,0.6,-1,2024-10-02,0.4375,1560.522289236028,1537.6092699213746,1482.088364092662,1498.373068983147,1521.8684233767488,0.1667,0.5,0.4545,,6.0,14.0,44.0,0.0,77
Marin Cilic,696,448,248,6.245689655172414,3,0.6,0.2,-1,2024-11-04,0.6437,1865.4314853793417,1537.4244176149202,1501.091463664317,1500.1818878343513,1509.1087849130904,0.6316,0.7416,0.6284,,171.0,89.0,436.0,0.0,44
Marcelo Arevalo,43,31,12,35.325581395348834,1,0.9,1.0,-1,2024-09-14,0.7209,1574.2385197999117,1536.6962277028397,1509.9654740008277,1500.0,1501.2902937780902,0.4545,,0.8,1.0,11.0,0.0,30.0,2.0,95
Quentin Halys,97,35,62,19.34020618556701,6,0.5,0.4,0,2024-11-04,0.3608,1575.9509264246662,1535.886579127087,1499.391074637942,1507.8000722706238,1467.7356515187316,0.3913,0.5455,0.3175,,23.0,11.0,63.0,0.0,44
Aleksandar Vukic,94,41,53,11.574468085106384,8,0.6,0.8,-1,2024-10-14,0.4362,1574.2260179188934,1534.4558197703352,1487.510214963587,1516.0509121305506,1475.2837117707559,0.3077,0.5556,0.4286,,13.0,18.0,63.0,0.0,65
Timofey Skatov,17,8,9,34.88235294117647,0,0.6,0.6,-1,2024-10-14,0.4706,1555.8533282074688,1534.2528144580765,1527.5396498607702,1500.0,1493.2216134503642,0.75,,0.2222,,8.0,0.0,9.0,0.0,65
Gabriel Diallo,26,11,15,22.23076923076923,0,0.6,0.8,-1,2024-11-20,0.4231,1542.7734893556797,1533.5131792285804,1500.0,1497.626394742324,1520.3028854476916,0.0,0.0,0.4783,,1.0,2.0,23.0,0.0,28
Alexandre Muller,66,27,39,13.484848484848484,2,0.5,0.6,-1,2024-11-04,0.4091,1566.8274639414897,1533.1714311293333,1500.8465092730455,1506.4317941892637,1489.6742035366553,0.4444,0.5,0.3714,,27.0,4.0,35.0,0.0,44
Michael Mmoh,70,29,41,20.742857142857144,2,0.6,0.6,0,2024-04-01,0.4143,1575.260833936761,1532.191828004607,1496.366302021225,1499.9999999807944,1518.247881314914,0.3333,0.25,0.4386,,9.0,4.0,57.0,0.0,261
Arthur Rinderknech,157,74,83,8.872611464968152,6,0.5,0.6,0,2024-10-28,0.4713,1612.7499735474607,1532.0051574759568,1495.9699385823171,1489.0783238530375,1509.9976938034247,0.4634,0.3684,0.4948,,41.0,19.0,97.0,0.0,51
